id,name,category,breadcrumbs,short_description,description,price,best_for,review_score,review_count,image_url,url,embedding,,,,,,,,,,,,
232530, Solar String Area Light with Phone Charger,Lighting,Camping and Hiking/Camp Lighting/Lanterns/Electric Lanterns,"Add after-dark ambience to any atmosphere with the LuminAID Solar String Area Light. The soft white lights are great for backyards or campsites—plus, the solar-charged battery can juice up your phone.","32 ft. string light with 100 soft, warm white LED bulbs
Lights feature a high, medium, low, candle flicker and flashing red light modes
Glow-in-the-dark light cover
Bottom side of base also provides a cool white area light
2000 mAh battery is capable of charging phones on the go via the 5V USB output port
Battery recharges via solar power in 20 hrs. of sunlight or by USB input in 3 hrs.",54.95,"Camping, Casual",4.8,26,https://www.rei.com/media/806dad12-be78-49c6-bdcd-aa3c21e5b812?size=2000,https://www.rei.com/product/232530/luminaid-solar-string-area-light-with-phone-charger,,,,,,,,,,,,,
203791, Zoom Tube 8 x 32 Monocular Telescope,Gadgets and Gears,Camping and Hiking/Gadgets/Binoculars and Optics/Monoculars,"Ultracompact, weather-resistant and ready for any journey, the Nocs Provisions Zoom Tube 8 x 32 monocular telescope brings nature closer with its wide field of view and fully multicoated optics.","Form-optimized, fully multicoated lens array and BaK4 prism deliver optical clarity and brightness
Ultracompact design fits in your hand or pocket and tips the scales at a mere 8.5 oz. (241 g)
High-impact rubber housing protects the glass, while rugged, weather-resistant engineering withstands light rain and splashing (rated IPX4)
Twist-up eyecups and adjustable eye relief provide for use by eyeglass wearers
With a 1/4 in. 20-threaded tripod adapter engineered into the frame, the Zoom Tube can be mounted on a tripod for steady viewing
Threaded objective lens attachment lets you connect the Nocs Provisions Inspector microscope (not included), a 4x zoom multiplier that lets you see beyond what meets the eye
Designed to make snapping a photo with your smartphone easy, the Zoom Tube acts like a 400 mm lens, letting you capture the detail of your surroundings with a true analog zoom
Includes Zoom Tube, drawstring pouch, wrist strap and lens cleaning cloth, all in plastic-free packaging
Manufacturer's ""No-Matter-What"" lifetime warranty encourages you to get out there
Nocs Provisions is a member of 1% for the Planet",75,"Camping, Wildlife Viewing camping",4.5,106,https://www.rei.com/media/8cccf1b8-0320-4bba-950c-8ba4a799a3ed?size=2000,https://www.rei.com/product/203791/nocs-provisions-zoom-tube-8-x-32-monocular-telescope,,,,,,,,,,,,,
246022,Nocs Provisions x Bird Collective Pro Issue 10 x 42 Binoculars,Gadgets and Gears,Camping and Hiking/Gadgets/Binoculars and Optics/Binoculars,"Limited-edition binoculars celebrating the new age of birding, the Nocs Provisions x Bird Collective Pro Issue 10 x 42 binoculars are the next best thing to having hawk eyes.","Featuring wide field of view (42 mm), the Pro Issue binoculars were designed for those who prioritize image size and quality over all else
Provide a 342 ft. field of view that is distortion-free across the field
While all Nocs Provisions binoculars have fully multicoated lenses, the Pro Issue extends these coatings to the prisms to maximize brightness and clarity from edge to edge
Multilayer phase-correction coatings applied to the prism surfaces ensure accurate image contrast and avoid unwanted interference effects
Every surface of every piece of glass inside has multiple coatings of broadband antireflective coating, which is key to providing a crisp and color-correct image
IPX7 rating means these binoculars are considered waterproof; they can withstand submersion in water up to 1 m deep for up to 30 min.
Nitrogen-sealed to prevent internal condensation
Binoculars feature a smooth central focus knob, easy-to-dial-in diopter adjustment and single hinge adjustment that fits all faces
Rugged nonslip grip keeps these binos protected and comfortable in hand, no matter what you (or Mother Nature) throw at them
Multistep, twist-up eyecups are designed to work for those who wear glasses as well as those who don't
With a close focus of less than 6 ft. (2 m), these binoculars fill the field with the closest details you see, whether it's a butterfly or a bee in a nearby tree
Also excellent for amateur astronomy
Designed for a refined feel that fits in your palm
Ergonomic, ribbed housing protects the binoculars
Binoculars come with a drawstring pouch, neck strap and lens cleaning cloth
Manufacturer offers a ""No-Matter-What"" lifetime warranty to encourage you to get out there",295,"Camping, Wildlife Viewing
Birding",0,0,https://www.rei.com/media/a5517f04-fe3e-4b88-b5f3-f37ed9fd66b2?size=2000,https://www.rei.com/product/246022/nocs-provisions-nocs-provisions-x-bird-collective-pro-issue-10-x-42-binoculars,,,,,,,,,,,,,
185196, Sahara Shade Hoodie - Men's,Hiking Clothing ,Men's Clothing/Men's Shirts/Men's Active Shirts/Men's Hiking Shirts,"This REI Co-op sun shirt is great for days spent on the trails or water. Its stretchy, technical knit wicks moisture and provides UPF 50+ sun protection. Pull up the hood for extra coverage.","UPF 50+ fabric shields against harmful UV rays
Supersoft stretch knit wicks away moisture and dries quickly to withstand multiple days on the trail
3-panel hood has an internal drawstring to seal out the elements and a crossover-style opening for sun coverage at the neck
Raglan sleeves for ease of movement
Thumbholes hold sleeves in place
Machine wash warm; do not bleach; tumble dry low
Product meets the bluesign criteria
REI is Climate Neutral Certified; as we work to actively reduce our footprint, we measure annual carbon emissions and purchase an equivalent amount of verified carbon credits",49.95,"camping, Watersports Hiking",4.6,699,https://www.rei.com/media/c6f28ef0-6894-4ca3-8ebf-9ac3164adec9?size=2000,https://www.rei.com/product/185196/rei-co-op-sahara-shade-hoodie-mens,,,,,,,,,,,,,
236065, Sahara Convertible Pants - Men's,Hiking Clothing ,Men's Clothing/Men's Pants/Men's Convertible Pants,"These REI convertible pants are ideal for long days and changing weather. Side zippers switch them into shorts while your shoes stay on. Plus, the breathable UPF 50+ fabric shields you from the sun.","Made with a recycled nylon/spandex blend that's lightweight, breathable and durable enough to handle hard-charging days on the trail and log-sitting nights around the campfire
Nonfluorinated durable water repellent (DWR) coating helps moisture bead up on the surface
UPF 50+ sun protection
Vertical zippers from bottom hem to mid-thigh allow for more ventilation and also let you remove pant legs without removing your shoes or boots
Pants zip into shorts with color-coded thigh zippers for easy reattachment
Elastic back waistband allows you to move freely and comfortably
Loaded with 6 pockets for essentials, including front hand pockets, back pockets and cargo pockets (1 zippered)
Reinforced cuff backs stand up to abrasion from hiking boots
Zipper fly with button closure
Convertible shorts inseam: 8 in. (28 IN Inseam sizes); 8.5 in. (30 IN Inseam sizes); 9 in. (32 IN Inseam sizes); 9.5 in. (34 IN Inseam sizes); 10 in. (36 IN Inseam sizes)
Machine wash cold; do not use bleach or fabric softeners; tumble dry low
Contains materials that meet the bluesign® criteria
REI is Climate Neutral Certified; as we work to actively reduce our footprint, we measure annual carbon emissions and purchase an equivalent amount of verified carbon credits",89.95,"Camping, Hiking",4.2,785,https://www.rei.com/media/84ccd05f-22b3-4c37-bc1f-e19084673403?size=2000,https://www.rei.com/product/236065/rei-co-op-sahara-convertible-pants-mens,,,,,,,,,,,,,
237610, Moab Speed 2 Mid GTX Hiking Boots - Men's,Hiking Footwear,Footwear/Men's Footwear/Men's Boots/Men's Hiking Boots/Men's Day Hiking Boots,"Comfort is king on the trail, and the men's Merrell Moab Speed 2 Mid GTX hiking boots deliver. This iteration is updated with 30% more foam underfoot as well as improved breathability and traction.","GORE-TEX waterproof membranes with exceptional breathability to keep your feet dry in inclement weather
Nylon ripstop and TPU uppers with padded collars
Protective synthetic heel and toe caps resist abrasion
Bellows tongues keep out debris
Dual heel and tongue loops for ease of entry and carabiner compatibility
100% recycled laces and webbing
100% recycled breathable mesh linings
Removable 5% recycled polyurethane footbeds
100% recycled mesh footbed covers
Cleansport NXT™ treated for natural odor control
Secure-fit heel counters and full-length rock plates underfoot for confidence on the trail in any conditions
Lightweight FlexPlate™ technology provides torsional rigidity with forefoot stability
FloatPro™ foam midsoles for lightweight comfort that lasts
Vibram® TC5+ outsoles provide exceptional traction for outdoor multisport activities; Vibram TC5+ rubber is specially formulated for Merrell
4 mm Vibram traction lugs are specifically designed to increase traction and shed debris with each step",180,"Camping, Hiking",4.7,217,https://www.rei.com/media/639e5514-abf5-4d94-986a-5a791cf9f20b?size=2000,https://www.rei.com/product/237610/merrell-moab-speed-2-mid-gtx-hiking-boots-mens,,,,,,,,,,,,,
236163, Renegade Evo GTX Mid Hiking Boots - Men's,Hiking Footwear,Footwear/Men's Footwear/Men's Boots/Men's Hiking Boots/Men's Day Hiking Boots,"Offering the comfort, fit, durability and performance of the original Renegade with strategic updates for added comfort, the men's Lowa Renegade Evo GTX Mid hiking boots are made for all-day hikes.","Heinen terracare® nubuck leather uppers
Revised upper design has fewer seams to reduce potential pressure and wear points
GORE-TEX waterproof/breathable membranes
MONOWRAP® support
Moderately stiff
Double-injection DuraPU®/DynaPU® midsoles
Updated midsole/outsole package has been revised for even better comfort and support underfoot",265,"Camping, Hiking",4,27,https://www.rei.com/media/7033f0f1-706e-4010-9fb4-52c6488d1f30?size=2000,https://www.rei.com/product/236163/lowa-renegade-evo-gtx-mid-hiking-boots-mens,,,,,,,,,,,,,
208257, inReach Mini 2,Health and Safety,Camping and Hiking/Camp Electronics/Satellite Communicators,"Add peace of mind to any adventure with this compact satellite communicator. Weighing a mere 3.5 oz., it lets you message, send an SOS and share your location. Pair with your phone for maps and more.","Stay in touch globally with 2-way communication, tracking and interactive SOS capabilities (active satellite subscription required)
In case of an emergency in the backcountry, trigger an interactive SOS to the 24/7 search and rescue monitoring center (active satellite subscription required)
Pairs with Garmin devices, such as wearables and handhelds, so you can use them to send and receive messages or trigger an SOS
TracBack® routing navigates you back to your starting point the same way you came—right on your device
You can also share your location with loved ones back home by using your MapShare™ page or with your coordinates embedded in your messages
Use the Garmin Explore™ app on a compatible smartphone to plan trips, access topographical maps, create waypoints and courses you can sync to your device and more
Cell service is not required to navigate on your phone using the paired app; maps are downloaded to your device for access anywhere, anytime
Digital compass delivers accurate heading information, even when you're not moving
Stay on adventures longer with up to 14 days battery life in full sky view, or up to 4 days in moderate tree cover for standard activity recording and 10-minute tracking mode
Battery life for 10-minute tracking and high-detail activity recording is 5 days in full sky view, or up to 2 days in moderate tree cover
30-minute tracking interval with standard activity recording extends battery life to 30 days in full sky view, or up to 10 days in moderate tree cover
Rugged, impact resistant and water-rated to IPX7—easily withstands rain, snow, splashes and incidental exposure to water of up to 1 meter for up to 30 min.
Includes USB-C charging cable, carabiner and owner's manual
Spine mount adaptor is not included",400,"Camping, Multisport Emergency Preparedness",4.4,1319,https://www.rei.com/media/186f6c7b-03e1-41f0-ba4b-06a63fe894ec?size=2000,https://www.rei.com/product/208257/garmin-inreach-mini-2,,,,,,,,,,,,,
730925, Organic Liquid Soap - Travel Size,Health and Safety,Camping and Hiking/Health and Safety/Camp Bathroom/Soap and Shampoo/Camping Soap,"Same great Dr. Bronner's organic soap! Now, in a compact size ideal for travel.","    Made of all-natural ingredients, this soap is ideal for camping, as it is gentle on the environment
    Gentle to delicate skin, this soap can be used for bathing, shaving, as shampoo and as mouthwash

Made in USA.
Leave No Trace: Even biodegradable soaps and cleansers shouldn’t be used in a natural water source. To wash yourself, your laundry or your dishes, carry water 200 feet away from streams or lakes and use small amounts of biodegradable soap (a little goes a long way). Then pour wastewater into a cat hole 6 to 8 inches deep.",3.85,Camping,4.9,1610,https://www.rei.com/media/e90f0e66-c227-4968-ab18-3599a2c1ec3b?size=2000,https://www.rei.com/product/730925/dr-bronners-organic-liquid-soap-travel-size,,,,,,,,,,,,,
847189, Camp Chair - Kids',Kids Camping Gear,Camping and Hiking/Camp Furniture/Camp Chairs,"Let your young ones enjoy a comfortable spot by the campfire just like you with this strong, sturdy and kid-friendly chair.","Camp Kids' chair is lightweight and portable so you can take it to the campsite, sporting event or backyard barbecue
Constructed of heavy-duty, thick-walled steel for enduring strength; powder coating keeps the steel frame looking nice for years of use
Includes a kid-friendly pocket for beverages and other small items on the right armrest
Integrated strap keeps the chair closed and doubles as a shoulder strap for simple transport
REI Camp Kids' chair packs down to 5 x 25 in. and weighs 4 lbs.
REI is Climate Neutral Certified; as we work to actively reduce our footprint, we measure annual carbon emissions and purchase an equivalent amount of verified carbon credits",27.93,Camping,4.7,80,https://www.rei.com/media/da4d7d96-348a-42bc-abb8-9cdca7eaebbb?size=2000,https://www.rei.com/product/847189/rei-co-op-camp-chair-kids,,,,,,,,,,,,,
205221, SPF 40 Kids' Mineral Sunscreen Cream - 2.9 fl. oz.,Kids Camping Gear,Camping and Hiking/Health and Safety/Sun Protection/Sunscreen,"Offering broad-spectrum mineral protection against UVA/UVB rays and up to 80 min. of water resistance, Badger SPF 40 Kid's Mineral sunscreen cream is perfect for long days of summer camp or swimming.","    9 simple ingredients and suitable for the most sensitive skin
    Broad-spectrum formula is water resistant for up to 80 min.
    Clear zinc oxide
    97% organic ingredients and lightly scented with organic tangerine and vanilla
    Moisturizing all-organic base of sunflower oil, jojoba and beeswax
    Hypoallergenic, gluten-free, and certified non-GMO
    Cruelty-free and made with solar power

Made in USA.
Active sunscreen ingredient: uncoated zinc oxide 22.5%. Inactive ingredients: organic sunflower oil, organic beeswax, organic orange oil, organic jojoba oil, organic tangerine oil, sunflower vitamin E, organic vanilla extract, organic seabuckthorn extract.",17.95,"Camping, Multisport",4.1,11,https://www.rei.com/media/994c81e1-2363-47f8-b04f-ca121d326bb4?size=2000,https://www.rei.com/product/205221/badger-spf-40-kids-mineral-sunscreen-cream-29-fl-oz,,,,,,,,,,,,,
242709,Evo TL V2 Air Tent,Tent,Camping and Hiking/Tents/Camping Tents,"Perfect for family camping trips, the Zempire Evo TL V2 Air tent inflates in under 2 minutes and has a multiroom design and spacious living area to ensure everyone has plenty of room to spread out.",,1300,Camping,4.9,38,https://www.rei.com/media/639cd6dd-6c7f-4398-9df4-6b7b821c5250?size=2000,https://www.rei.com/product/242709/zempire-evo-tl-v2-air-tent,,,,,,,,,,,,,
187510,Catena 30 Sleeping Bag,Sleeping Gear,Camping and Hiking/Sleeping Gear/Sleeping Bags/Camping Sleeping Bags,"Practical, affordable and just right for any casual or first-time camper, the Kelty Catena 30 sleeping bag meets all your basic camping needs with the warmth of cozy CloudLoft insulation.","Cozy CloudLoft synthetic insulation offers the warmth you need to rest comfortably through the night
Made with a durable yet lightweight 190-thread-count polyester taffeta shell; 50-denier 300-thread-count polyester liner offers a smooth, comfortable feel inside
Roomy rectangular shape—ideal for starfish sleepers—features an antisnag, anti-draft zipper to adjust your comfort levels inside
Can be fully unzipped for use as a blanket or zipped together with a second Catena (not included) for a double-wide snooze-athon
Includes a stuff sack for packing up quickly and easily before departing the campsite",49.95,Camping,4.2,82,https://www.rei.com/media/0bb60270-04aa-4226-840c-3a2d2003c066?size=2000,https://www.rei.com/product/187510/kelty-catena-30-sleeping-bag,,,,,,,,,,,,,
