name,slug,description_text,category_slug,category_name,product_type_slug,product_type_name,collections,attributes,rating,tax_class,weight,price,image_url,brand,capacity,weight_attr
Organic Liquid Soap - Travel Size,organic-liquid-soap-travel-size,Organic Liquid Soap - Travel Size — great for Camping.,health-and-safety,Health and Safety,health-and-safety,Health And Safety,camping,best-for:camping;brand:organic,4.9,standard,1.0,3.85,https://www.rei.com/media/e90f0e66-c227-4968-ab18-3599a2c1ec3b?size=2000,organic,,
Camp Chair - Kids',camp-chair-kids,Camp Chair - Kids' — great for Camping.,kids-camping-gear,Kids Camping Gear,kids-camping-gear,Kids Camping Gear,camping,best-for:camping;gender:kids;brand:camp,4.7,standard,1.0,27.93,https://www.rei.com/media/da4d7d96-348a-42bc-abb8-9cdca7eaebbb?size=2000,camp,,
SPF 40 Kids' Mineral Sunscreen Cream - 2.9 fl. oz.,spf-40-kids-mineral-sunscreen-cream-2-9-fl-oz,"SPF 40 Kids' Mineral Sunscreen Cream - 2.9 fl. oz. — great for Camping, Multisport.",kids-camping-gear,Kids Camping Gear,kids-camping-gear,Kids Camping Gear,"camping,multisport",best-for:camping|multisport;gender:kids;brand:spf,4.1,standard,1.0,17.95,https://www.rei.com/media/994c81e1-2363-47f8-b04f-ca121d326bb4?size=2000,spf,,
Evo TL V2 Air Tent,evo-tl-v2-air-tent,Evo TL V2 Air Tent — great for Camping.,tent,Tent,tents,Tents,camping,best-for:camping;brand:evo,4.9,standard,2.5,1300.0,https://www.rei.com/media/639cd6dd-6c7f-4398-9df4-6b7b821c5250?size=2000,evo,,
Catena 30 Sleeping Bag,catena-30-sleeping-bag,Catena 30 Sleeping Bag — great for Camping.,sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,camping,best-for:camping;temp-rating:30;brand:catena,4.2,standard,1.2,49.95,https://www.rei.com/media/0bb60270-04aa-4226-840c-3a2d2003c066?size=2000,catena,,
Flash 55 Pack - Men's,flash-55-pack-men-s,Flash 55 Pack - Men's — great for Backpacking.,backpacks,Backpacks,backpacks,Backpacks,backpacking,best-for:backpacking;gender:mens;brand:flash;capacity:55-person,4.2,standard,1.5,199.0,https://www.rei.com/media/b9bc0911-6280-4425-8285-b36a37b2ef4a?size=2000,flash,55-person,
Cascade 3-in-1 Camp Stove,cascade-3-in-1-camp-stove,Cascade 3-in-1 Camp Stove — great for Camping.,camp-kitchen,Camp Kitchen,camp-kitchen,Camp Kitchen,camping,best-for:camping;brand:cascade,4.5,standard,0.8,164.99,https://www.rei.com/media/5a4bb7ea-4ede-491a-9681-e5fd8a76a031?size=2000,cascade,,
GO Hydration Water Jug - 11 Liters/2.9 Gal.,go-hydration-water-jug-11-liters-2-9-gal,GO Hydration Water Jug - 11 Liters/2.9 Gal. — great for Camping.,camp-hydration,Camp Hydration,camp-hydration,Camp Hydration,camping,best-for:camping;capacity:11l,3.9,standard,1.0,70.0,https://www.rei.com/media/568b309e-f9b5-47bb-8f55-c08404b5ca99?size=2000,,11l,
Copper Spur HV UL2 Tent,copper-spur-hv-ul2-tent,"Copper Spur HV UL2 Tent — great for Camping, Backpacking.",tent,Tent,tents,Tents,"camping,backpacking",best-for:camping|backpacking;brand:copper,4.1,standard,2.5,370.93,https://www.rei.com/media/6341cfd5-14e1-48a7-8e8f-b25925ba6ec5?size=2000,copper,,
Trail Hut 2 Tent with Footprint,trail-hut-2-tent-with-footprint,"Trail Hut 2 Tent with Footprint — great for Camping, Backpacking.",tent,Tent,tents,Tents,"camping,backpacking",best-for:camping|backpacking;persons:2;brand:trail,4.4,standard,2.5,229.0,https://www.rei.com/media/56b03fff-1b1b-4bba-bb46-63429f9576d6?size=2000,trail,,
Rapid Shelter - 10' x 10',rapid-shelter-10-x-10,Rapid Shelter - 10' x 10' — great for Camping.,tent,Tent,tents,Tents,camping,best-for:camping;brand:rapid,4.1,standard,2.5,249.95,https://www.rei.com/media/956ee609-46ea-4e3e-bfc9-92072f10ea4b?size=2000,rapid,,
Brazos 30F Sleeping Bag,brazos-30f-sleeping-bag,Brazos 30F Sleeping Bag — great for Camping.,sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,camping,best-for:camping;brand:brazos,4.4,standard,1.2,47.0,https://www.rei.com/media/2ae27031-f9cc-4178-9306-ac1902cf9da7?size=2000,brazos,,
Disco 15 Endless Promise Down Sleeping Bag - Men's,disco-15-endless-promise-down-sleeping-bag-men-s,"Disco 15 Endless Promise Down Sleeping Bag - Men's — great for Camping, Backpacking.",sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,"camping,backpacking",best-for:camping|backpacking;temp-rating:15;gender:mens;brand:disco,4.5,standard,1.2,299.95,https://www.rei.com/media/8ff133cb-9a2a-44b7-a6a7-38f4096d3a27?size=2000,disco,,
FlexMat Sleeping Pad,flexmat-sleeping-pad,"FlexMat Sleeping Pad — great for Camping, Backpacking.",sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,"camping,backpacking",best-for:camping|backpacking;brand:flexmat,4.4,standard,1.2,39.95,https://www.rei.com/media/7b962fcb-fb99-49bc-9f3c-231b22f1ce7c?size=2000,flexmat,,
Flash 18 Print Pack,flash-18-print-pack,"Flash 18 Print Pack — great for Camping, Hiking.",backpacks,Backpacks,backpacks,Backpacks,"camping,hiking",best-for:camping|hiking;brand:flash;capacity:18-person,4.4,standard,1.5,39.95,https://www.rei.com/media/818dda9b-eaa4-4cea-882e-1b25a4883da1?size=2000,flash,18-person,
HydraSleeve Reservoir - 3 Liters,hydrasleeve-reservoir-3-liters,"HydraSleeve Reservoir - 3 Liters — great for Camping, Multispot.",backpacks,Backpacks,backpacks,Backpacks,"camping,multispot",best-for:camping|multispot;brand:hydrasleeve;capacity:3l,4.8,standard,1.5,60.0,https://www.rei.com/media/184d3e14-5072-4e14-9c4a-554897cbe5d1?size=2000,hydrasleeve,3l,
Trail 2 Waist Pack,trail-2-waist-pack,"Trail 2 Waist Pack — great for Camping, Hiking Travel.",backpacks,Backpacks,backpacks,Backpacks,"camping,hiking-travel",best-for:camping|hiking-travel;brand:trail,4.6,standard,1.5,14.83,https://www.rei.com/media/378aa68e-e2ce-4abe-ad4f-1925f7ba2d63?size=2000,trail,,
Flash Cooking System,flash-cooking-system,"Flash Cooking System — great for Camping, Backpacking.",camp-kitchen,Camp Kitchen,camp-kitchen,Camp Kitchen,"camping,backpacking",best-for:camping|backpacking;brand:flash,4.5,standard,0.8,97.39,https://www.rei.com/media/e2f14910-fc1b-459a-9da2-cd953ae575ef?size=2000,flash,,
Destination Kitchen Set 24,destination-kitchen-set-24,Destination Kitchen Set 24 — great for Camping.,camp-kitchen,Camp Kitchen,camp-kitchen,Camp Kitchen,camping,best-for:camping;brand:destination,4.5,standard,0.8,59.95,https://www.rei.com/media/7c310c10-b922-4c4f-b9fa-be9e4d5e68e8?size=2000,destination,,
GeoPress Water Filter and Purifier Bottle - 24 fl. oz.,geopress-water-filter-and-purifier-bottle-24-fl-oz,"GeoPress Water Filter and Purifier Bottle - 24 fl. oz. — great for Camping, Backpacking

Travel.",camp-hydration,Camp Hydration,camp-hydration,Camp Hydration,"camping,backpacking-travel",best-for:camping|backpacking-travel;brand:geopress,4.8,standard,1.0,99.95,https://www.rei.com/product/150116/grayl-geopress-water-filter-and-purifier-bottle-24-fl-oz,geopress,,
FreeSip Vacuum Water Bottle - 32 fl. oz.,freesip-vacuum-water-bottle-32-fl-oz,"FreeSip Vacuum Water Bottle - 32 fl. oz. — great for Camping, Multisport.",camp-hydration,"Camp Hydration
",camp-hydration,Camp Hydration,"camping,multisport",best-for:camping|multisport;brand:freesip,4.8,standard,1.0,35.0,https://www.rei.com/media/daf6196e-ecf2-4e52-ae62-ed3b7d2de033?size=2000,freesip,,
Bonfire Fire Pit with Stand 2.0,bonfire-fire-pit-with-stand-2-0,Bonfire Fire Pit with Stand 2.0 — great for Camping.,camp-furniture,Camp Furniture,camp-furniture,Camp Furniture,camping,best-for:camping;brand:bonfire,4.4,standard,1.0,300.0,https://www.rei.com/media/51dc6410-5d00-4073-9451-9ef0a0d98cf9?size=2000,bonfire,,
DoubleNest Hammock - Print,doublenest-hammock-print,DoubleNest Hammock - Print — great for Camping.,camp-furniture,Camp Furniture,camp-furniture,Camp Furniture,camping,best-for:camping;brand:doublenest,4.6,standard,1.0,84.94,https://www.rei.com/media/2f81856c-2ba1-4e55-aca4-4497279ea7a1?size=2000,doublenest,,
Icon700 Headlamp,icon700-headlamp,"Icon700 Headlamp — great for Camping, Backpacking.",lighting,Lighting,lighting,Lighting,"camping,backpacking",best-for:camping|backpacking;brand:icon700,4.2,standard,1.0,109.95,https://www.rei.com/media/f5917737-e268-4076-b2fa-62f722616d2a?size=2000,icon700,,
Luci Original Clear 2.0 Inflatable Solar Lantern,luci-original-clear-2-0-inflatable-solar-lantern,"Luci Original Clear 2.0 Inflatable Solar Lantern — great for Backpacking

Camping.",lighting,Lighting,lighting,Lighting,backpacking-camping,best-for:backpacking-camping;brand:luci,4.8,standard,1.0,29.95,https://www.rei.com/media/152fdc41-1845-477d-9681-279df76fcb54?size=2000,luci,,
A-10 NH Compass,a-10-nh-compass,"A-10 NH Compass — great for Camping, Hiking.",gadgets-and-gears,Gadgets and Gears,gadgets-and-gears,Gadgets And Gears,"camping,hiking",best-for:camping|hiking;brand:a-10,4.3,standard,1.0,24.0,https://www.rei.com/media/c8d3d09d-36ba-4f5b-a541-d0aaa254c9bc?size=2000,a-10,,
Spyfire Down Jacket - Men's,spyfire-down-jacket-men-s,"Spyfire Down Jacket - Men's — great for Camping, Multisport.",hiking-clothing,Hiking Clothing,hiking-clothing,Hiking Clothing,"camping,multisport",best-for:camping|multisport;gender:mens;brand:spyfire,4.3,standard,1.0,299.0,https://www.rei.com/media/e41ccece-d6ba-40ef-bd88-76e67bca2b44?size=2000,spyfire,,
Horizon Breeze Brimmer Hat,horizon-breeze-brimmer-hat,"Horizon Breeze Brimmer Hat — great for Camping, Casual

Hiking.",hiking-clothing,Hiking Clothing,hiking-clothing,Hiking Clothing,"camping,casual-hiking",best-for:camping|casual-hiking;brand:horizon,4.8,standard,1.0,45.0,https://www.rei.com/media/cd4a692a-5f34-42ae-88b0-e9ad7b2f9dbf?size=2000,horizon,,
Targhee IV Vent Hiking Shoes - Men's,targhee-iv-vent-hiking-shoes-men-s,"Targhee IV Vent Hiking Shoes - Men's — great for Camping, Hiking.",hiking-footwear,Hiking Footwear,hiking-footwear,Hiking Footwear,"camping,hiking",best-for:camping|hiking;gender:mens;brand:targhee,4.3,standard,1.0,150.0,https://www.rei.com/media/ec4d0d6e-2262-4765-94bc-8408386d2496?size=2000,targhee,,
Rogue Hiker Mid GORE-TEX Hiking Boots - Men's,rogue-hiker-mid-gore-tex-hiking-boots-men-s,"Rogue Hiker Mid GORE-TEX Hiking Boots - Men's — great for Camping, Backpacking.",hiking-footwear,Hiking Footwear,hiking-footwear,Hiking Footwear,"camping,backpacking",best-for:camping|backpacking;gender:mens;brand:rogue,4.3,standard,1.0,230.0,https://www.rei.com/media/73184c8f-87dc-46cf-b8a1-1262cf662d34?size=2000,rogue,,
Mountain Series Hiker Medical Kit,mountain-series-hiker-medical-kit,"Mountain Series Hiker Medical Kit — great for Camping, Hiking.",health-and-safety,Health and Safety,health-and-safety,Health And Safety,"camping,hiking",best-for:camping|hiking;brand:mountain,4.6,standard,1.0,29.95,https://www.rei.com/media/2a722066-fe9c-48b9-8526-665effc53c8f?size=2000,mountain,,
Emergency Blanket XL,emergency-blanket-xl,"Emergency Blanket XL — great for Camping, Backpacking.",health-and-safety,Health and Safety,health-and-safety,Health And Safety,"camping,backpacking",best-for:camping|backpacking;brand:emergency,4.6,standard,1.0,8.5,https://www.rei.com/media/5668a602-3315-4e4a-a14b-1f69adeb6fb7?size=2000,emergency,,
Kid Comfort Sun Roof,kid-comfort-sun-roof,"Kid Comfort Sun Roof — great for Camping, Hiking.",kids-camping-gear,Kids Camping Gear,kids-camping-gear,Kids Camping Gear,"camping,hiking",best-for:camping|hiking;gender:kids;brand:kid,3.8,standard,1.0,35.0,https://www.rei.com/media/aaadb94c-8b67-4685-a3fd-7f0301cc7b5e?size=2000,kid,,
Eddy+ Kids' Renew Water Bottle - 14 fl. oz.,eddy-kids-renew-water-bottle-14-fl-oz,"Eddy+ Kids' Renew Water Bottle - 14 fl. oz. — great for Camping, Casual.",kids-camping-gear,Kids Camping Gear,kids-camping-gear,Kids Camping Gear,"camping,casual",best-for:camping|casual;gender:kids;brand:eddy,4.5,standard,1.0,15.0,https://www.rei.com/media/86aada5a-2cd7-479f-a8cf-61ef5372a512?size=2000,eddy,,
Helio Pressure Shower - 11 Liters,helio-pressure-shower-11-liters,Helio Pressure Shower - 11 Liters — great for Camping.,camp-and-hike-deals,Camp and Hike Deals,camp-and-hike-deals,Camp And Hike Deals,camping,best-for:camping;brand:helio;capacity:11l,3.7,standard,1.0,64.93,https://www.rei.com/media/12e65c41-108a-47a0-928b-14c2bc701632?size=2000,helio,11l,
Outward Low Lawn Chair,outward-low-lawn-chair,Outward Low Lawn Chair — great for Camping.,camp-and-hike-deals,Camp and Hike Deals,camp-and-hike-deals,Camp And Hike Deals,camping,best-for:camping;brand:outward,4.5,standard,1.0,44.83,https://www.rei.com/media/81adf443-ac27-4c24-9aa9-dcebe876275b?size=2000,outward,,
vivoactive 5,vivoactive-5,"vivoactive 5 — great for Camping, Fitness.",camp-and-hike-deals,Camp and Hike Deals,camp-and-hike-deals,Camp And Hike Deals,"camping,fitness",best-for:camping|fitness,4.4,standard,1.0,219.99,https://www.rei.com/media/51cbc7d6-d825-4a09-9676-6189833b2535?size=2000,,,
HalfGen Base Camp Cooking System,halfgen-base-camp-cooking-system,HalfGen Base Camp Cooking System — great for Camping.,camp-and-hike-deals,Camp and Hike Deals,camp-and-hike-deals,Camp And Hike Deals,camping,best-for:camping;brand:halfgen,4.5,standard,1.0,164.89,https://www.rei.com/media/510430ae-f75f-466a-b43d-556285a37be8?size=2000,halfgen,,
Reflect Aero Earbuds,reflect-aero-earbuds,"Reflect Aero Earbuds — great for Camping, Multisport.",camp-and-hike-deals,Camp and Hike Deals,camp-and-hike-deals,Camp And Hike Deals,"camping,multisport",best-for:camping|multisport;brand:reflect,3.6,standard,1.0,99.99,https://www.rei.com/media/bfae591f-ca50-4348-af73-0dfe6810a4a0?size=2000,reflect,,
Reverb ChromaPop Sunglasses,reverb-chromapop-sunglasses,"Reverb ChromaPop Sunglasses — great for Camping, Cycling.",camp-and-hike-deals,Camp and Hike Deals,camp-and-hike-deals,Camp And Hike Deals,"camping,cycling",best-for:camping|cycling;brand:reverb,5.0,standard,1.0,149.73,https://www.rei.com/media/fcfca35f-7fc4-44bb-bb52-6f51dcfefd9f?size=2000,reverb,,
fenix 7X Sapphire Solar,fenix-7x-sapphire-solar,"fenix 7X Sapphire Solar — great for Camping, Multisport.",camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,"camping,multisport",best-for:camping|multisport,4.6,standard,1.0,649.99,https://www.rei.com/media/cf966670-da8f-463c-963f-5039f4fe3a84?size=2000,,,
inReach Messenger,inreach-messenger,"inReach Messenger — great for Emergency Preparedness

Multisport.",camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,emergency-preparedness-multisport,best-for:emergency-preparedness-multisport,4.2,standard,1.0,300.0,https://www.rei.com/media/0ebaa7e5-b8b0-49c5-9204-247f0973173c?size=2000,,,
vivoactive 5,vivoactive-5,vivoactive 5 — great for Fitness.,camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,fitness,best-for:fitness,4.4,standard,1.0,219.99,https://www.rei.com/media/51cbc7d6-d825-4a09-9676-6189833b2535?size=2000,,,
GO 3S Action Bundle,go-3s-action-bundle,GO 3S Action Bundle — great for Multisport.,camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,multisport,best-for:multisport,0.0,standard,1.0,465.0,https://www.rei.com/media/4754d89e-02a1-4c90-b533-d2b94666c108?size=2000,,,
Flip 6 Speaker,flip-6-speaker,Flip 6 Speaker — great for Casual.,camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,casual,best-for:casual;brand:flip,4.4,standard,1.0,129.95,https://www.rei.com/media/2107b48d-3dfe-4450-9971-259fb1ed260b?size=2000,flip,,
Aurora Highrise 6P Tent,aurora-highrise-6p-tent,Aurora Highrise 6P Tent — great for Camping.,tent,Tent,tents,Tents,camping,best-for:camping;brand:aurora;capacity:6-person,4.1,standard,2.5,349.93,https://www.rei.com/media/b5ca0d0b-3351-49e7-812e-104b180a03ef?size=2000,aurora,6-person,
Skydome 6-Person Screen Room Tent with Dark Room Technology,skydome-6-person-screen-room-tent-with-dark-room-technology,Skydome 6-Person Screen Room Tent with Dark Room Technology — great for Camping.,tent,Tent,tents,Tents,camping,best-for:camping;persons:6;brand:skydome,4.3,standard,2.5,325.0,https://www.rei.com/media/eae0433f-a7a8-47be-87ae-940c2ecf6168?size=2000,skydome,,
Wonderland 6 Tent,wonderland-6-tent,Wonderland 6 Tent — great for Camping.,tent,Tent,tents,Tents,camping,best-for:camping;persons:6;brand:wonderland,3.5,standard,2.5,499.0,https://www.rei.com/media/fbfde3d5-4f6d-42ef-9764-30dd867811d0?size=2000,wonderland,,
DoubleNest Hammock,doublenest-hammock,DoubleNest Hammock — great for Camping.,sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,camping,best-for:camping;brand:doublenest,4.6,standard,1.2,74.95,https://www.rei.com/media/84d22620-a51e-4a8d-9c7d-ba7d04f89fc2?size=2000,doublenest,,
AirRail Plus Sleeping Pad,airrail-plus-sleeping-pad,"AirRail Plus Sleeping Pad — great for Camping, Backpacking.",sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,"camping,backpacking",best-for:camping|backpacking;brand:airrail,4.1,standard,1.2,115.0,https://www.rei.com/media/d33e7512-b184-4f8b-8050-c54bf0fceeab?size=2000,airrail,,
Helix Insulated Air Sleeping Pad,helix-insulated-air-sleeping-pad,Helix Insulated Air Sleeping Pad — great for Backpacking.,sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,backpacking,best-for:backpacking;brand:helix,4.1,standard,1.2,169.0,https://www.rei.com/media/03114700-d4bb-4fc5-88f5-5ad4354750ef?size=2000,helix,,
MegaMat Auto Sleeping Pad,megamat-auto-sleeping-pad,MegaMat Auto Sleeping Pad — great for Camping.,sleeping-gear,Sleeping Gear,sleeping-bags,Sleeping Bags,camping,best-for:camping;brand:megamat,0.0,standard,1.2,429.0,https://www.rei.com/media/e6966584-6ea3-4aff-b51a-59d1bc6c444a?size=2000,megamat,,
Poco Premium Child Carrier,poco-premium-child-carrier,Poco Premium Child Carrier — great for Hiking.,backpacks,Backpacks,backpacks,Backpacks,hiking,best-for:hiking;brand:poco,0.0,standard,1.5,395.0,https://www.rei.com/media/27246d38-410f-4fbf-b6a5-5120257472d0?size=2000,poco,,
Southwest 55 Pack,southwest-55-pack,Southwest 55 Pack — great for Backpacking.,backpacks,Backpacks,backpacks,Backpacks,backpacking,best-for:backpacking;brand:southwest;capacity:55-person,3.8,standard,1.5,399.0,https://www.rei.com/media/bd586e31-89c5-40ca-8be7-c6319a69eefd?size=2000,southwest,55-person,
Flash 22 Print Pack,flash-22-print-pack,Flash 22 Print Pack — great for Hiking.,backpacks,Backpacks,backpacks,Backpacks,hiking,best-for:hiking;brand:flash;capacity:22-person,4.3,standard,1.5,59.95,https://www.rei.com/media/857de853-7f93-4dd7-b059-87830351d57f?size=2000,flash,22-person,
DELTA Pro Portable Power Station,delta-pro-portable-power-station,DELTA Pro Portable Power Station — great for Wall charge: 2.7 hours; wall charge: 1.8 hours; solar charge: 4-8 hours; car charge: 37.5 hours.,camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,wall-charge-2-7-hours-wall-charge-1-8-hours-solar-charge-4-8-hours-car-charge-37-5-hours,best-for:wall-charge-2-7-hours-wall-charge-1-8-hours-solar-charge-4-8-hours-car-charge-37-5-hours;brand:delta,4.9,standard,1.0,2499.0,https://www.rei.com/media/2689e04c-19f5-4846-ab74-4734ae9bfa35?size=2000,delta,,
ER310 E+READY Emergency Crank Weather Radio,er310-e-ready-emergency-crank-weather-radio,ER310 E+READY Emergency Crank Weather Radio — great for Emergency Preparedness.,camp-electronics,Camp Electronics,camp-electronics,Camp Electronics,emergency-preparedness,best-for:emergency-preparedness;brand:er310,4.2,standard,1.0,70.0,https://www.rei.com/media/dbe4e034-194d-4f40-a9fc-6fe1dc7eac4a?size=2000,er310,,
